stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding
70701,Calatorao,41.528692,-1.360545,2
70702,Salillas De JalÃ³n,41.56794,-1.325848,2
70703,Ã©pila,41.60933,-1.301043,2
70706,GrisÃ©n,41.745261,-1.165924,2
70800,Casetas,41.7226479,-1.0201916,1
70801,Utebo,41.7108644,-0.9985828,1
70806,Zaragoza-Portillo,41.6527361,-0.8958759,1
70807,Zaragoza-Goya,41.6438779,-0.8912574,2
71100,Zaragoza-Miraflores,41.6334311,-0.8681653,1
71103,Fuentes De Ebro,41.515065,-0.618625,2
71105,Quinto,41.419528,-0.490673,2
71108,La Zaida-SÃ¡stago,41.320542,-0.427115,2
71200,La Puebla De HÃ­jar,41.2244,-0.438595,2
71201,Samper,41.182183,-0.368761,2
71204,Caspe,41.239738,-0.042701,2
71205,Val De Pilas,41.230056,0.070145,2
71206,Fabara,41.234405,0.143284,2
71207,Nonaspe,41.213788,0.242472,2
71208,FaiÃ³-La Pobla De Massaluca,41.2250555,0.35110259,2
71209,Riba-Roja D'ebre,41.2485594,0.48103178,2
71210,Flix,41.2293651,0.54010012,2
71211,AscÃ³,41.1823727,0.56902524,2
71300,MÃ³ra La Nova,41.1065823,0.65321819,2
71302,CapÃ§anes,41.1020902,0.78036099,2
71303,MarÃ§Ã -Falset,41.1309421,0.81041774,2
71304,Pradell,41.1333595,0.85865032,2
71305,DuesaigÃ¼es-L'argentera,41.1436928,0.92087096,2
71306,Riudecanyes-Botarell,41.1400577,0.97574775,2
71307,Les Borges Del Camp,41.1665064,1.0221323,2
71400,Reus,41.1605229,1.10008978,1
71401,Vila-Seca,41.1128193,1.15037877,2
71500,Tarragona,41.1115636,1.25322776,1
71502,Altafulla-Tamarit,41.1366479,1.37341488,2
71503,Torredembarra,41.1427923,1.40578377,1
71600,Sant VicenÃ§ De Calders,41.1862102,1.52480358,2
71601,Calafell,41.1896703,1.57500937,2
71602,Segur De Calafell,41.1925787,1.60643599,2
71603,Cunit,41.1950415,1.63194242,2
71604,Cubelles,41.2043246,1.6759772,2
71700,Vilanova I La GeltrÃº,41.2203207,1.73077249,2
71701,Sitges,41.2391315,1.80969184,2
71703,Garraf,41.2545875,1.90250383,2
71704,Platja De Castelldefels,41.2669823,1.95713579,2
71705,Castelldefels,41.2790474,1.97915126,2
71706,GavÃ ,41.3034722,2.01053111,2
71707,El Prat De Llobregat,41.3309401,2.08934473,2
71708,Bellvitge-Gornal,41.3549216,2.1152733,2
71709,Viladecans,41.3095086,2.02741857,2
71801,Barcelona-Sants,41.3798632,2.14101688,1
71802,Barcelona-Passeig De GrÃ cia,41.3920862,2.16533862,2
72101,Roda De Mar,41.1864204,1.45520767,2
72201,El Vendrell,41.2210057,1.53790552,2
72202,L'arboÃ§,41.2734041,1.60051857,2
72203,Els Monjos,41.3147135,1.65988402,2
72204,Vilafranca Del PenedÃ¨s,41.3448139,1.70320131,2
72205,La Granada,41.3709497,1.72507893,2
72206,Lavern-Subirats,41.3957338,1.76817358,2
72207,Sant SadurnÃ­ D'anoia,41.4205181,1.79468769,2
72208,Gelida,41.4485405,1.86552988,2
72209,Martorell-Central,41.4792866,1.92533467,2
72210,Castellbisbal,41.4734152,1.96756971,2
72211,El Papiol,41.4353713,2.00257792,2
72300,Molins De Rei,41.4098958,2.02077275,2
72301,Sant Feliu De Llobregat,41.3830018,2.0479197,2
72302,Sant Joan DespÃ­,41.3685805,2.06020835,2
72303,CornellÃ ,41.3575214,2.07054907,2
72305,L'hospitalet De Llobregat,41.3642038,2.10091749,2
72400,El Prat Aeroport,41.3041813,2.07340133,2
72501,RubÃ­ Can Vallhonrat,41.4751763,2.03707926,2
72502,Sant Cugat Coll FavÃ ,41.4810907,2.07967922,2
72503,Cerdanyola Universitat,41.4969904,2.1153777,2
72508,Santa PerpÃ¨tua De Mogoda-Riera De Caldes,41.5262297,2.18633867,2
73001,Puigverd De Lleida-Artesa,41.5537015,0.73342706,2
73002,Juneda,41.5439328,0.82554185,2
73003,Les Borges Blanques,41.5213973,0.87791022,2
73004,La Floresta,41.5042013,0.924432,2
73005,Vinaixa,41.425141,0.9703737,2
73006,VimbodÃ­ I Poblet,41.4027277,1.04603327,2
73007,L'espluga De FrancolÃ­,41.4006616,1.10336094,2
73008,Montblanc,41.3766254,1.16554869,2
73009,Vilaverd,41.3376633,1.17653235,2
73010,La Riba,41.3184926,1.1813126,2
73100,La Plana-Picamoixons,41.3061987,1.19488293,2
73101,Alcover,41.2616066,1.17416002,2
73102,La Selva Del Camp,41.2111544,1.14396003,2
74200,Huesca,42.133594,-0.409745,1
74204,Ayerbe,42.27561,-0.682569,2
74206,Riglos,42.344756,-0.731599,2
74207,Santa MarÃ­a Y La PeÃ±a,42.38039,-0.695647,2
74208,AnzÃ¡nigo,42.403289,-0.643344,2
74209,Caldearenas-AquiluÃ©,42.397973,-0.499309,2
74211,SabiÃ±Ã¡nigo,42.520446,-0.373085,2
74213,Jaca,42.578303,-0.539231,2
74214,Castiello-Pueblo,42.62811,-0.546291,2
74216,VillanÃºa,42.688745,-0.52346,2
74217,Canfranc,42.751471,-0.514641,2
76001,SalomÃ³,41.2234416,1.37662504,2
76002,Vilabella,41.2395473,1.31749155,2
76003,Nulles-BrÃ fim,41.2503192,1.29750259,2
76004,Valls,41.2896079,1.25865179,2
77002,Montcada-Ripollet,41.4968022,2.18192841,2
77003,Santa PerpÃ¨tua De Mogoda La Florida,41.5262041,2.18623384,2
77004,Mollet-Santa Rosa,41.5366617,2.20616865,2
77005,Parets Del VallÃ¨s,41.556269,2.22600409,2
77006,Granollers-Canovelles,41.6114637,2.27686073,2
77100,Les Franqueses Del VallÃ¨s,41.6297885,2.29516461,2
77102,La Garriga,41.6846272,2.28879559,2
77103,FigarÃ³,41.7213454,2.27160129,2
77104,Sant MartÃ­ De Centelles,41.7605736,2.24890462,2
77105,Centelles,41.7993947,2.22263552,2
77106,BalenyÃ -Els Hostalets,41.8149511,2.23331523,2
77107,BalenyÃ -Tona-Seva,41.8419076,2.2474424,2
77109,Vic,41.9310958,2.24885665,2
77110,Manlleu,41.9998601,2.26929589,2
77111,TorellÃ³,42.0520113,2.25997226,2
77112,BorgonyÃ ,42.0646586,2.24200567,2
77113,Sant Quirze De Besora-Montesquiu,42.1048488,2.21773349,2
77114,La Farga De BebiÃ©,42.1300729,2.20393566,2
77200,Ripoll,42.1961284,2.19584128,2
77301,CampdevÃ nol,42.2217131,2.16575839,2
77303,Ribes De Freser,42.3002126,2.16619947,2
77304,Planoles,42.3144689,2.09973152,2
77305,Toses,42.3209639,2.01525836,2
77306,La Molina,42.3446518,1.95595081,2
77307,Urtx-Alp,42.3768624,1.89685307,2
77309,PuigcerdÃ ,42.4296256,1.92458355,2
77310,La Tour De Carol,42.4590288,1.90438312,2
78005,Villanueva De GÃ¡llego,41.76551,-0.822204,2
78200,Tardienta,41.975716,-0.538223,2
78400,Lleida-Pirineus,41.62013,0.63365328,1
78402,Bell-Lloc D'urgell,41.631619,0.781547,2
78403,Mollerussa,41.631779,0.896775,2
78404,GolmÃ©s,41.635929,0.930863,2
78405,Castellnou De Seana,41.637464,0.967736,2
78406,Bellpuig,41.632545,1.012993,2
78407,Anglesola,41.646448,1.079192,2
78408,TÃ rrega,41.650387,1.138963,2
78500,Cervera,41.673611,1.274773,2
78501,Sant Guim De Freixenet,41.655924,1.42053,2
78502,Sant MartÃ­ Sesgueioles,41.701217,1.486204,2
78503,Calaf,41.730334,1.515097,2
78504,Seguers-Sant Pere Sallavinera,41.747991,1.574167,2
78505,Aguilar De Segarra,41.738917,1.62372,2
78506,Rajadell,41.733159,1.696275,2
78600,Manresa,41.7203921,1.82648564,2
78604,Sant VicenÃ§ De Castellet,41.6688309,1.86264304,2
78605,Castellbell I El Vilar-Monist Montserrat,41.6286826,1.86882093,2
78606,Vacarisses,41.601928,1.8940879,2
78607,Vacarisses-Torreblanca,41.5869183,1.91647577,2
78609,Viladecavalls,41.5637965,1.95727015,2
78610,Sant Miquel De Gonteres,41.5688661,1.97428484,2
78700,Terrassa EstaciÃ³ Del Nord,41.5697825,2.01435428,2
78703,Sabadell Sud,41.5287076,2.10539311,2
78704,Sabadell Centre,41.5464197,2.11560767,2
78705,BarberÃ  Del VallÃ¨s,41.5136598,2.11845269,2
78706,Cerdanyola Del VallÃ¨s,41.4925608,2.14752164,2
78707,Montcada I Reixac-Santa MarÃ­a,41.4811409,2.16698683,2
78708,Montcada I Reixac-Manresa,41.4839402,2.1854042,2
78709,Sabadell Nord,41.5619773,2.09622844,2
78710,Terrassa Est,41.5675296,2.03963639,2
78800,Montcada-BifurcaciÃ³,41.4698402,2.18001578,2
78801,Torre Del BarÃ³-Vallbona,41.4609684,2.18102036,2
78802,Fabra I Puig,41.4303481,2.18332907,2
78804,Barcelona-Arc De Triomf,41.3919048,2.18063916,2
78805,Barcelona-PlaÃ§a De Catalunya,41.3879231,2.16970383,1
78806,Barcelona-La Sagrera-Meridiana,41.421848,2.18711031,2
79004,Barcelona-Sant Andreu,41.4361251,2.19319866,2
79005,Montcada I Reixac,41.4842254,2.1880892,2
79006,Mollet-Sant Fost,41.5335634,2.21766516,2
79007,MontmelÃ³,41.5496523,2.24544407,2
79009,Barcelona-El Clot,41.4092979,2.18719759,2
79011,La Llagosta,41.5104566,2.19973279,2
79100,Granollers-Centre,41.5997447,2.29126962,1
79101,Cardedeu,41.6367012,2.35626265,2
79102,Llinars Del VallÃ¨s,41.6380367,2.40445769,2
79103,Palautordera,41.6719522,2.45421488,2
79104,Sant Celoni,41.6857928,2.49072799,2
79105,Gualba,41.7181901,2.53878373,2
79106,Riells I Viabrea-Breda,41.7263582,2.56889584,2
79107,Hostalric,41.747788,2.63165011,2
79109,Les Franqueses-Granollers Nord,41.6172549,2.2944318,2
79200,MaÃ§anet-Massanes,41.7724212,2.67385865,2
79202,Sils,41.8075996,2.74500729,2
79203,Caldes De Malavella,41.84111,2.80076692,2
79204,Riudellots,41.896297,2.81157037,2
79205,Fornells De La Selva,41.935043,2.80978324,2
79300,Girona,41.9793629,2.81693689,1
79301,CelrÃ ,42.0271984,2.87490587,2
79302,Bordils-JuiÃ ,42.0370568,2.91529561,2
79303,FlaÃ§Ã ,42.047477,2.95740315,1
79304,Sant Jordi Desvalls,42.0683023,2.96447664,2
79305,Camallera,42.1223297,2.96536522,2
79306,Sant Miquel De FluviÃ ,42.1721019,2.98959828,2
79308,Vilamalla,42.216362,2.97776423,2
79309,Figueres,42.2651134,2.96880074,1
79311,VilajuÃ¯ga,42.3256691,3.08754626,2
79312,LlanÃ§Ã ,42.3666194,3.1489746,2
79314,Colera,42.4068837,3.15434316,2
79315,Portbou,42.4245908,3.15801841,1
79316,CerbÃ¨re,42.441664,3.16314935,2
79400,Barcelona EstaciÃ³ De FranÃ§a,41.3844866,2.18534785,1
79403,Sant AdriÃ  De BesÃ²s,41.4244316,2.23048178,1
79404,Badalona,41.4458838,2.24892096,1
79405,Montgat,41.4630211,2.2721551,2
